Entity,islabel
Our Audit Committee,0
ESS Semiconductors N.V.,1
"AMD  Co. , Ltd.",1
Czech,0
Questflo,0
Monolithic Devices Inc,1
ATI CrossFire Pro,0
Analog and Interface Products Division,0
"Hon Hai Precision Industry Co., Ltd.",1
Signal Integrity and Timing Product,0
NTG Ultra-Mobility Group,0
IPM,0
CSP EEPROMs,0
Freescale Technologies Ltd.,1
BiFET,0
Bang,0
Ember,1
Maxim Power Systems,0
Unisem,1
Maxim Instruments Inc.,1
Mubadala Technology Investments LLC,1
Qualcomm Technology Licensing,0
"King Yuan Electronics Co., Ltd.",1
"Nokia , Inc.",1
Dune Networks,1
"Texas Instruments, Inc.",1
RF360 Holdings Singapore Pte,1
Sharp,1
Leipziger Fab 36 KG,0
Media,0
Cisco Systems,0
"Platform of Things , Software and Services",0
Quantum Corp.,1
Future Electronics,1
Hewlett - Packard Company,1
WT,1
Raytheon Electric Device Innovations,0
"Maxim Integrated Products, Inc.",1
"Avago / A-COM Technology Solutions , Inc.",1
General Tax Counsel,0
"Samsung Electronics Co. , Ltd.",1
SMS Audio,0
Access,0
System,0
"Fairchild Semiconductor International, Inc.",1
"Tongfu Fujitsu Microelectronics Co., Ltd.",1
Motorola,1
Advanced Communications and Sensing,0
"SiGe Semiconductor , Inc",1
Equity Bank Securities Inc.,1
Iowa,1
Samsung Electronics Co . Ltd.,1
Skyworks-owned,0
Kingpak,1
General Semiconductor,1
VISION Pro Technology,1
Cooley,1
"Cavium , Inc.",1
Texas Devices Inc.,1
HD Radio ??,0
Integration Associates,1
Amazon.com,0
Triquint,1
ARM Semiconductor Inc.,1
VISION Technology,1
Global Foundries Inc.,1
HK,0
Renesas Technology Corp.,1
"II-VI, Inc.",1
Share Repurchase Program,0
Bytemobile,1
Merrill Lynch,1
JVs,0
National Association of Corporate Directors Board,1
Hewlett-Packard Packard Enterprise Company,1
Phoenix,1
Agreement,0
QUALCOMM,1
Spartan-3A,0
Fairchild Semiconductor,1
"Xilinx , Inc.",1
Pascal-powered,0
HGST,1
Broadcom Corporation,1
GreenPeak Technologies,1
Simplification,0
"Supertex , Inc",1
Pace,1
"Intel , Inc.",1
Energy Micro 's,1
ATI Technologies ULC,1
AKM Semiconductor Inc.,1
Sanken Electric,1
Foxconn Inc.,1
HERE,1
Cabot Microelectronics Corporation,1
Leshan-Phoenix Semiconductor Company Limited,1
Microchip,1
Applied Micro Circuits Corporation,1
Asus,1
Integration,0
"Ubiquiti Networks , Inc.",1
Significant Technologies,1
PCIe,0
ZTE Corporation,1
District,0
Error,0
Worldwide Sales and Applications,0
Atmel Semiconductor Corp,1
WCIS,1
Advanced and DO Advanced,0
Itron Electronics Co . Ltd.,1
"Intel-GE Care Innovations , LLC",1
TL,1
Strategic Investments,1
Flarion,1
Solomon,1
Semiconductor,0
Spectra Linear,1
"Motorola, Inc.",1
Infonetics,1
Linear Micro Devices,0
Alphabet,0
IBM Party,1
Broadcom Ltd.,1
Broadlight,1
Maxim Technology Inc.,1
Monolithic Power Systems Inc.,1
Beyond Automotive,1
EBV,0
Huawei Technologies,1
Murata Grumman Corporation,1
Hampshire Company,1
Amazon Web Services,0
ON Aptina Imaging Business,1
Technicolor Medical Systems,0
General,1
"Microsoft Group , Inc.",1
NXP B.V.,1
Monolithic Power Systems,1
Company Loan Parties,0
YouTube,1
Global System for Mobile Communication,0
NEC Epson Corporation,1
Autodesk,1
Niigata,1
A-Series,0
SANYO Display Company,1
IPR & D.,0
AOCI,1
CPU,0
Philips Electronics,1
CR-V,0
Premier,1
Mobileye Instruments Incorporated,1
Dell,1
Tesla,1
"Industrial , Medical and Mil-Aero Product Group",0
Velocity Micro,1
Advanced Analogic Technologies Inc.,1
"Advanced Micro Devices , Inc.",1
QMC,1
"Advanced Micro Devices, Inc.",1
Imagination Technologies,1
Intersil Inc.,1
Global Testing Corporation,1
Tessera,1
Hyundai Electronics,1
"MultiPhy International , Inc",1
Project,0
JV Partner,0
Ericsson Mobile Platforms,1
Syracuse,1
Applied Richfield Company,1
District Court for the Central District of California,0
"Amkor Technology, Inc.",1
Intel Developer Forum,0
"Littelfuse, Inc.",1
AMD FirePro ??,0
Foxconn Technology Group,1
"Greenliant Systems , Ltd",1
PCCG Center Group,1
TDK Corporation,1
WiFi,0
Yahoo,1
HP Inc.,1
Merrill,1
"Micron Technology, Inc.",1
IbidenCo,1
Toshiba Electronics Corporation,1
SCI Solutions Group,1
Mitsubishi Electric,1
"UMC Electronics Co. , Ltd.",1
TSMC,1
ASSP Instruments Incorporated,1
Management ? Discussion and Analysis of Financial Condition and Results of Operations,0
KPMG,1
EasyPath,0
Fairchild Technologies AG,1
Samsung Electronics Co.,1
Cloud,0
"Itron, Inc.",1
World,0
Power Management and High-Reliability,0
Apple In Motion Limited,0
MUFG Union Bank,1
Siliconware ChipPAC Ltd,1
LIBOR,0
ST Microelectronics,1
Radeon Open Compute Platform,0
Beceem,1
Future,1
Spectra Linear 's,0
Kansas,0
Datacenter / Cloud,0
SmartThings,1
MU,1
Audit Governance committees of our Board of Directors,0
"TriQuint Semiconductor , Inc.",1
National Semiconductor Corp.,1
AMD,1
FPGAs,0
Mediatek Electronics Co . Ltd.,1
Xiaomi,1
Agent,0
"Technology , Manufacturing , and Enterprise Services",0
Juniper,1
Fiber,1
ATIC International,1
Advanced Microwave Corporation,1
Knowles,1
Microchip Communications S.A.,0
Systems Technology,1
Integrated,0
Qualcomm Charitable Foundation,1
Image,0
High,0
ST-NXP,1
"Filtronic Compound Semiconductors, Limited",1
Moody,1
License and Development Contracts.We,0
"Huawei , Inc.",1
Our Image Sensor Group,0
Maxtor,1
Siliconware ChipPAC Incorporated,1
Storage,0
"Wii of America , Inc",1
Candescent,1
Gennum,1
Finisar Corporation,1
Tsinghua Unigroup Ltd.,1
ASUS,1
"SMART Technologies , Inc.",1
Austriamicrosystems Semiconductor PLC,1
"Qualcomm Europe , Inc.",1
Cisco,1
Truesense,1
Wells,0
Delta,1
Taiwan,0
Data and Smart Devices,0
Broadband and Wireless and Infrastructure and Networking,0
"Autodesk, Inc.",1
"Cisco Systems , Inc",1
"MACOM Technology Solutions Holdings , Inc.",1
"KEC Intertechnology , Inc",1
"Rocky Holding, Inc.",1
Phonak Electronics Co.,1
Wells Fargo,1
Jaguar,1
Wireless and Networking,0
Candescent Technologies Corporation,1
Baidu,1
SMIC,1
Media Tek,1
Treasury of SCI LLC,1
KEC,1
Client and Technology Solutions,0
Chartered Semiconductor Manufacturing Ltd.,1
Western Digital,1
Knowles Corporation,1
SDx,1
Qorvo Inc.,1
Inphi Micro Circuits Corporation,1
"AMD International Sales & Service , Ltd.",1
EERAM,0
SCI LLC,1
Leadis Technology Inc,1
PulseCore,1
Xiam,1
Power - Reliability,0
RDA,1
"Catalyst Semiconductor , Inc.",1
Sanmina Towada Electronics,1
"Broadcom Technologies Co. , Ltd.",1
Compaq Computer Corporation,1
Update,0
Stanford,1
MagnaChip Semiconductor Corporation,1
Borrower,0
UniSpreadtrum,1
Infineon,1
European,1
SANYO EPSON IMAGING DEVICES CORPORATION,1
ISSC Technologies Corporation,1
Gate,0
Electronic,0
Maxim Integrated Products,1
"Filtronic Compound Semiconductors , Limited",1
Advanced Technology Investment Company LLC,1
Broadband and Wireless  Hand,0
Amalfi Semiconductor,1
Intellisync,1
LG Electronics,1
"ATIC II , Chartered",0
Corporate Analysis & Strategy of SCI LLC,0
Guarantor,1
Gennum SG & A.,0
Freescale Semiconductor Inc.,1
Narrow-Scope Improvements and Practical Expedients,0
HiSilicon Technologies,1
"BroadLight , Inc.",1
ST-Ericsson,1
ARM Holdings plc,0
Mercedes-Benz,1
Fibre,0
Asus Transformer,0
PSB Products Business,0
Avnera Corp.,1
Micrel Power Systems Inc,1
"Silicon Wave , Inc.",1
SDSoC,0
Capital,1
Intelligent Systems Group,1
Mitsubishi Instruments Incorporated,1
Cypress,1
AG,0
Simplicity,1
Linear Technology,1
Amazon,1
Audi,1
New & Defense and Communications,0
"Reserve International Liquidity Fund, Ltd.",1
Amalfi Semiconductor Inc.,1
Clearwire Corporation,1
Hon / Foxconn,1
Edom Technology,1
Seagate Digital Corporation,1
Wolfson,1
Broadcom Limited,1
Civic,1
Percello,1
SG & A.,0
Jabil,1
Toshiba,1
Care,1
Renesas Instruments Incorporated,1
LG Electronics Co . Ltd.,1
Bentley,1
TF  Sdn,0
Siliconware Precision Industries Ltd.,1
Samsung  Foundation,1
"Phleger and Harrison, LLP",1
Nest,1
Broadcom,1
National Cancer Institute,1
Integrated Device Technologies,1
Sony,1
Atmel,1
Skyworks,1
GuangDong OPPO Mobile Telecommunications Corp. Ltd.,1
Cisco Report,0
"Microsemi Technology Group , Ltd.",1
Worldwide of Directors,0
MediaTek Electronics Corporation,1
"Avnera Technology , Inc.",1
General Instrument,1
SANYO of Engineering,0
New & Data Center,0
Fairchild Effective Time,0
Amkor Logistics Ltd.,1
Mediatek Electronics Corporation,1
CIRRUS,1
RF Fusion ??,0
Itron,1
Ms,1
Signetics,1
Opteron,0
TC-SAW,0
"Rohm Co., Ltd.",1
SMI Inc.,1
Intel Technology Inc.,1
Maxim Instruments Incorporated,1
NXP Technologies AG,1
International Business Machines,1
Systems,0
"Meizu Technology Co. , Ltd.",1
Qualcomm MEMS Technologies,1
International,0
"Sharp , Inc.",1
Standard & Poor,1
"Audience , Inc.",1
TDK,1
Spansion Inc.,1
Broadcom Semiconductor Inc.,1
"Freescale Semiconductor , Inc.",1
Facilities,0
Marvell Technology,1
Amkor Technology Inc.,1
"Beceem and Gigle Networks, Inc.",1
Broadcom Technologies Ltd.,1
Tektronix,1
"Maxim Integrated Products , Inc.",1
San,1
"Timing Device Technology , Inc.",1
Renesas Electronics,1
ZF,1
Strategic,0
"Toshiba America Electronic Components, Inc.",1
"Samsung Electronics Co., Ltd.",1
"Sierra Monolithics, Inc.",1
Microchip Technology Incorporated,1
Omnivision Technologies,1
Texas,0
APUs,0
Harman,1
Hewlett Packard Company,1
Our Business and Operating Segments,0
Nexus,1
"Triune Systems , LLC",1
SANYO University of Tokyo,1
QGOV,0
A-COM Technology Solutions,1
"Marvell Semiconductor, Inc.",1
"Texas Integrations , Inc",1
S7000,0
MG & A.,0
CPB,1
Mercury,1
"Apple, Inc.",1
VCA,1
Spartan-3E,0
"Huawei Technology Co., Ltd",1
Bosch GmbH,1
DriveWorks,1
"New , Base and Support Products",0
Protek,1
"Cavium, Inc.",1
"SANYO Electric Co., Ltd.",1
"Spectra Linear , Inc",1
Cloud Computing Platforms,0
NVIDIA,1
"GoerTek Instruments , Inc",1
Electrical Engineering and Telecommunications and Informatics,0
"Huawei Technologies Co. , Ltd.",1
Silicon Laboratories,1
Sequans,1
Clock,0
R & E International,0
Cloud Computing Platforms.Mobile,0
JCAP,1
Metering and Machine to Machine,0
Hella Technologies Co . Ltd.,1
ICERA,1
"Audience, Inc.",1
Opening,0
"Broadcast , Consumer & Automotive",0
Brazos,1
TouchXpress,0
TSPS Corporation,1
Littlefuse Semiconductor Corporation,1
Supertex,1
SST,1
Global Semiconductor Market Association,0
ARM Limited,1
Sumitomo,1
"Meizu Technology Co., Ltd.",1
Skyworks Solutions Inc.,1
GSMA,1
Analog Semiconductor Corp,1
Broadcom Communications Holdings Inc.,1
Gallium,1
Columbia Sportswear,1
Inphi Arsenide Product Manufacturers,0
PACT XPP Technologies,1
NSG,1
Samsung Medical Systems,0
Sony Semiconductor,1
Rohm Rectifier Corporation,1
Qualcomm Wireless & Internet,0
"Murata Technologies , Inc.",1
LiquidVR,0
GSMA Intelligence,1
"NetLogic Microsystems , Inc.",1
Numonyx,1
Penang,0
Ernst & Young LLP,1
Huawei Technologies Co. Ltd.,1
Advanced Semiconductor Engineering,1
TD - SCDMA,0
Lam Research Corporation,1
Tsinghua Holdings Co. Ltd.,1
Rohm Semiconductor,1
Zynq-7000,0
AM / FM,0
Tritech Microelectronics,1
Bank,0
Radio,0
DSP Group,1
Motorola Siemens Networks,0
Amkor Technology,1
Syndication,1
SolidWorks,1
ABI,1
Maxim Integrated Products Inc.,1
Vishay,1
OPPO,1
Renasas,1
TFME,1
Analog Devices Inc.,1
Quantum Personal Computer Hard Disk Drive Division,0
"Nantong Fujitsu Microelectronics , Co. , Ltd.",1
"Avnet , Inc",1
Borrowers,1
"Atheros Communications , Inc.",1
Shares,0
"Sony Computer Entertainment , Inc",1
Delta Electronics,1
Swingline,1
Signal Integrity and Timing,0
Microsemi Instruments Incorporated,1
Micron,1
Santa,1
National Priorities List,0
Professional,1
CODM,1
Agere,1
Administrative  Credit Facility,0
ESS Microelectronics N.V.,1
"EnVerv , Inc.",1
LSI,1
ClariPhy,1
Triune Systems,1
"QUALCOMM, Inc.",1
ADI,1
Broadcom Integrated Products,0
Alicloud,0
Hewlett-Packard,1
Comcast,1
General Electric Company,1
"Falcon Operations Sub, Inc.",1
Tsinghua Holdings Co . Ltd.,1
Integrated Device Technology,1
SONET,1
Communications Infrastructure and Technical Computing,0
NVIDIA GRID,0
NVIDIA Tesla,0
AAC Semiconductor Inc.,1
"Advanced , Aerospace & Defense",1
"Board of Myomo, Inc.",1
Imagination Technologies Group plc,1
Volkswagen Golf,1
NVIDIA CUDA,0
GRID On-Demand Streaming Service,0
"A-COM Technology Solutions Holdings, Inc.",1
Ware & Friedenrich,0
"Samsung America Electronic Components , Inc.",1
Wolfson Microelectronics plc,1
Lantiq Technology Group,1
Marvell,1
Staff Accounting Bulletins No,0
MuLTEfire,0
California Micro Devices Corporation,1
"PMC-Sierra , Inc.",1
QCT Product Management,0
Financial and Enterprise Services Officer,0
"TF-AMD Semiconductor Co., Ltd.",1
"TF AMD Semiconductor Co., Ltd.",1
"General , Inc.",1
Black,0
ODMs,0
Power and High-Reliability,0
"Supertex , Inc.",1
OEMs,0
Chinese,0
Skyworks Electric Device Innovations,0
SANYO Semiconductor Products Group,0
General Electric,1
ON ? Semiconductor Components Group,0
ST Microelectronics N.V.,1
Hitachi,1
Other Significant Technologies,0
Jetson,0
Sony Playstation,0
Realtek Semiconductor,1
SEC Standards of Business Conduct,0
Virtex-E,0
RF Flex ??,0
"Apple Semiconductor , Inc.",1
Atlantic,1
Duke,1
Continental,1
Microsoft and Tools,0
"VMware , Inc.",1
Mobileye N.V.,1
"Sybase, Inc.",1
"Yulong Computer Telecommunication Scientific Co., Ltd.",1
SanDisk,1
IBM Corporation,1
ST,1
Chartered,1
"AMCC, ClariPhy Communications, Inc.",1
Elmos Semiconductor AG,1
Fab,0
Arris,1
Solutions for the Home - Highly-integrated,0
ATIC II,1
STMicroelectronics,1
ON ??Company ??,0
Dialog Semiconductors N.V.,1
Consumer and Automotive,0
Silicon Storage Technology,1
SMI,1
Intel Technology Corp.,1
Asia-Pacific,1
Service,0
ASE,1
"AMIS Holdings , Inc.",1
Optoelectronics,1
HiSilicon Technology Group Ltd.,1
RDA Microelectronics,1
"Intersil Integrated Products , Inc.",1
Taiwan Semiconductor Manufacturing Co.,1
Morgan Stanley,1
GRACE / HHNEC,1
NEC Corporation,1
Bogazici,0
"Micrium , LLC",1
Khronos Group,0
ATI CrossFire Pro,0
Time Warner,1
"M / A-COM Technology Solutions Holdings , Inc.",1
Thailand,0
Discovery,1
DSP Integrated Products Inc.,1
QMC Product Management,0
"Phoenix Technologies, Intellisync, Inc.",1
Intersil Semiconductor Corporation,1
"Merrill , Fenner & Smith Incorporated",1
Dune,1
GLOBALFOUNDRIES,1
Guarantors,1
Firethorn,1
Financial Reporting Manager,0
ZMD,1
Maxim Analogic Technologies Inc.,1
ISG - Comm,1
Optical Transceiver Module IC 's,0
Server . Kress,0
Senet Inc.,1
Business Products Group,0
"Sunext Design , Inc",1
Tritech,1
Google TV,0
Cloudera,1
"Opnext, Inc.",1
Alcatel-Lucent,1
Advanced Coast Hitech L.P.,1
EFM32,0
SANYO Semiconductor Transaction,0
"Texas Integrated , Inc.",1
TDK-EPCOS,0
Carrier,1
Fossil Mo禱t Hennessy Louis Vuitton SE,0
Airbus,1
Marvell Technology Corp.,1
"Industrial , Aerospace & Defense",0
ASML Holding N.V,1
Littlefuse,1
Siliconware,0
Microsemi and Sensing,0
SANYO Electric Co.,1
Samsung Electronics,1
Bachelor of Technology,1
CA,1
"Avnet, Inc.",1
Medical,1
KEC Corporation,1
Brew,0
"New , Aerospace & Defense and Communications",0
MS,0
NPD,1
VISION,1
"Microsemi, Nordic Semiconductor",1
Maskhouse,1
Base,1
McKesson Corporation,1
Business Jose State University,1
CH2M,1
NVIDIA DGX-1,0
Open-Silicon,1
Sierra,1
Vectron International,1
King Yuan Electronics Company,1
Cayman,1
Analog Solutions Group,0
"Yahoo , Inc",1
Microsoft Cognitive Toolkit,0
Mobile and Wireless  Solutions for the Hand  and Infrastructure and Networking,0
Boston University of Phoenix,1
"Cirrus Logic, Inc.",1
SANYO Semiconductor Co . Ltd.,1
Americas',0
"Live Nation Entertainment , Inc.",1
Microsemi Instruments Inc.,1
ISO / TS-16949,0
Bharti Airtel Limited,1
NXP Co . Ltd.,1
"HBO , Inc.",1
Bosch Automotive Systems,0
Broadband and Wireless,0
Advanced Communications and Gennum Product,0
"Qorvo, Inc.",1
Sandisk,1
Vectron,1
Conexant Integrated Products Inc.,1
Strategy,0
Board of Directors',0
AMD Holdings plc,0
"Board Audit and Finance , Compensation and Leadership Resources",0
Client,0
VSOE,1
AMD Fab 36 Limited Liability Company & Co . KG,0
QLogic,1
MSI ? Storage,0
Smart Mixed-Signal Connectivity ??,0
"Microchip Technology , Inc.",1
Mobile and Networking,0
Motorola Semiconductors Europe,1
"Niigata SANYO Electric Co., Ltd.",1
M.S.E.E,0
Omnitracs,1
"Integrated , Inc.",1
"Brew , Plaza",0
Maxim Integrated,1
"Suzhou TF AMD Semiconductor Co. , Ltd.",1
Power Solutions Group,0
Infineon Instruments Inc.,1
Hittite Microwave,1
Cayman Inc.,1
"Nantong Fujitsu Microelectronics Co. , Ltd.",1
Ltd Inc.,0
Xeon,1
L3,0
"Icera, Inc.",1
"Avnet , Inc.",1
Oracle Corporation,1
Intel Integrated Products,0
"GLOBALFOUNDRIES , Inc.",1
International Rectifier Corporation and Texas Instruments Incorporated,1
"Wind River Systems , Inc.",1
"NuVasive , Inc.",1
Borrowers??X,0
SCI Semiconductor Division,1
Hewlett,1
"Sierra Monolithics , Inc.",1
Sagem,1
Atheros Communications,1
Our Power Solutions Group,0
National Development and Reform Commission,1
Seiko,1
NASDAQ Stock Market,1
MD & A.,0
Advanced Interconnect Technologies,1
Tablet,0
Japan Sales and Marketing,0
Non-Volatile,0
Multi - Market Products Group,0
"McAfee, Inc.",1
UPS,1
VIA Telecom,1
Motion,1
Schneider,1
Director of Taxes and Tax Counsel,0
Columbia Sportswear Company Board of Directors,1
STATS ChipPAC Incorporated,1
LFoundry,1
Opnext,1
Our System Solutions Group,0
TPSCo,1
Columbia,0
Toshiba Semiconductor Manufacturing Company Limited,1
Novellus Systems Inc.,1
Lenovo,1
X-FAB Semiconductor Foundries AG,1
Segment,0
"Bytemobile, Inc.",1
Fairchild Semiconductor Corp,1
"Design , Device / Yield Engineering and Quality Systems",0
NDCP,1
"Bachelor University of California , Berkeley",0
"Cloudera , Inc.",1
Silicon,1
Kintex-7,0
Avnet Inc.,1
Acer,1
Taiwan Semiconductor Manufacturing Company,1
"Alphabet Systems , Inc.",1
"AMIS Holdings, Inc.",1
QLogic Transaction,0
"North America Sales , Computing Segment Sales and Sales Operations",0
"Infineon Co. , Ltd.",1
STMicroelectronics Instruments Incorporated,1
Motorola Solutions,0
"NXP Semiconductor International , Inc.",1
Semtech,1
HP,1
AMD Micro Devices Export Sdn,0
PulseCore  Inc.,1
FX,1
PRQ,1
"Fuzhou Rockchip Electronics Co., Ltd.",1
"Triune Systems , LLC.",1
Analog,1
WOLFSON,1
Gennum Corporation,1
"Phonak International, Research In Motion Limited",0
Huawei Siemens Networks,0
Texas Technology Corporation,1
CDMA2000,0
"Supertex, Inc.",1
Hitachi Digital Corporation,1
GPU Solutions Business,0
SeaMicro,1
Renasas Instruments Incorporated,1
Monolithic Instruments Inc.,1
Miracast,0
MediaTek Inc.,1
Ms . Burns,0
Zynq,0
Apple Inc.,1
"Brobeck , Phleger and Harrison , LLP",1
Nordic,1
Aptina Imaging Business,1
Icera modem,1
Flash-IP,0
Amazon.com Inc.,1
QSI,1
Qualcomm Strategic Initiatives,0
"Professional Computer Technology, Ltd.",1
MultiPhy Ltd.,1
Google Chromecast,0
"Nantong Fujitsu Microelectronics Co., Ltd.",1
ISE 簧 Design Suite,0
Omnitracs Division,1
GF,1
SWKS,1
Worldwide Sales and Marketing,0
SOI,1
RFMD,1
Conexant Systems,1
National Semiconductor Corporation,1
ON,0
Co-Book,0
DSO,1
STMicroelectronics N.V.,1
STMicroelectronics International N.V,1
McAfee,1
Sunext Design,1
S-4,0
"Sirenza Microdevices, Inc.",1
"Broadcom , Inc.",1
Euro,0
Blue,0
"Samsung Electronics Co. , Ltd",1
"Analog Devices , Inc.",1
Flextronics Towada Electronics,1
Intel Corporation,1
AMTC Building Administration GmbH & Co . KG,1
Qualcomm Front End,1
Benchmark,0
Panasonic & Industrial Systems Company,1
"Citrix Systems , Inc.",1
Varian Medical Systems,1
Apple ? App Store,0
"Amkor Technology , Inc.",1
"Marvell Manufacturing Co. , Ltd.",1
Power Management and High Reliability and Signal Integrity and Timing,0
Diodes Semiconductors N.V.,1
Siliconware Precision Industries Ltd,1
ON Semiconductor 簧.,0
Capsule,1
Continuing,0
AAC Technologies,1
Mainstream,1
LSI Logic Corporation,1
Garmin,1
Aerospace & Defense,0
Google,1
Northwestern in Electrical Engineering,0
"Harry & David Holdings , Inc.",1
Interim,1
Imagination Technologies Group,1
THATIC JV's,1
Imagination Technology Group,1
Hewlett-Packard Corp.,1
Hewlett-Packard Inc.,1
Note2,0
TF AMD Microelectronics,1
Anadigics Inc.,1
Tianjin Haiguang Advanced Technology Investment Co. Ltd.,1
"TSMC Electronics Co. , Ltd.",1
Things,1
Gennum Products,0
Cree,1
Juniper Networks,1
Deutsche of America,1
Mobile,0
Consumer & Automotive and Other,0
Samsung Hai Precision Industry Co.,1
Information,0
SANYO System Solutions Group,0
Bloomberg,1
Energy Micro AS,1
Our Systems Innovation Group,0
Lattice,1
Western Digital Corporation,1
UK  Limited,0
PulseCore Holdings,1
SMSC,1
Dell Group Limited,0
FS,0
Qualcomm Retail Solutions,1
Murata Solutions Inc.,1
Moore,1
ON Semiconductor ?,0
"McAfee , Inc.",1
"AMD Haiguang Advanced Technology Investment Co. , Ltd.",1
Strategic Realignment Plan.,0
Beijing UniSpreadtrum Technology Ltd,1
Advanced Micro Devices Export Sdn,1
Telegesis,1
"Cisco Systems , Inc.",1
"LG , Inc.",1
Qualcomm CDMA Technologies,1
Qualcomm Europe,1
"Autodesk , Inc",1
Avanta,1
MagnaChip Semiconductor LLC,1
Swiss,0
Wind River Software Group,1
STATS ChipPAC Ltd.,1
STMicroelectronics Instruments Inc,1
Freescale Semiconductor,1
Interface,0
DAA,1
Nintendo of America,1
Spreadtrum Communications,1
"Tianjin Haiguang Advanced Technology Investment Co., Ltd.",1
Provigent,1
IA,1
Cree Inc.,1
Xyratex Ltd.,1
QCT,1
Millennium Microtech Thailand,1
Panasonic,1
Microchip Technology Corporation,1
Multi Phone Group,0
Taiwan Semiconductor Manufacturing Company Limited,1
"PMC-Sierra, Inc.",1
Analog Products Group,1
GE,1
International Business Machines Corporation,1
Global,0
STATS,1
Mobileye,1
Navigant,1
Qualcomm Heterogeneous System Architecture,0
ON & Industrial Group,0
Taiwan Semiconductor Manufacturing Company Limited's,1
Human,0
Maxwell,1
Customers,0
Samsung Semiconductor,1
Qualcomm Haven Security Solutions,1
Ambarella,1
Bang Pa In,0
Nokia,1
China AMD Microelectronics,1
VIA,1
Toshiba Corporation,1
Signal Instruments Incorporated,1
Qualcomm Semiconductors N.V,1
CSG,1
THATIC,1
NXP Semiconductor Corporation,1
Amkor Precision Industries,1
Bhd.,0
Communications and Data Center,0
A * STAR,0
"A123 Systems , Inc.",1
Aa3 / AA,0
AATI,1
"Acoustic Technologies, Inc.",1
Acquisition,0
Acquisitions and Divestitures,0
Active,0
Active-Semi,1
"Active-Semi International, Inc.",1
ADAS,0
Administrative,0
"Administrative Fargo Securities , LLC",0
Advanced,0
Advanced & Data Center,0
"Advanced , Aerospace & Defense and Communications & Data Center",0
Advanced and Sensing,0
Advanced Communication Product,0
Advanced Communications,1
Advanced communications and Sensing,0
Advanced Communications and the Wireless and Sensing,0
Advanced Micro Devices,1
"Advanced Micro Devices , Inc",1
"Advanced Semiconductor Engineering , Inc.",1
Advanced Technology Investment Company,1
