Entity,islabel
Advanced Wireless and Sensing,0
Aero,0
Aerospace,0
AIBs,0
Airoha Technology Corp.,1
AKM Devices Inc.,1
Alcatel,1
Alliance,0
Alliance Semiconductor,1
"Alpha Industries , Inc.",1
"Alpha Industries, Inc.",1
Alphabet Inc.,1
Alphabet Technologies Co . Ltd.,1
Altera,1
Altera Corporation,1
Altera Semiconductor Corporation,1
Amalfi,0
"Amalfi Semiconductor , Inc",1
"Amalfi Semiconductor , Inc.",1
"Amazon.com, Inc.",1
"Ambarella, Inc.",1
AMCC,1
"AMD , Inc.",1
AMD Coast Hitech L.P,0
AMD Controller Hub-based,0
"AMD Micro Devices , Inc",1
AMI,1
AMI Semiconductor,1
AMIS,0
Amkor,1
"Anadigics Devices , Inc.",1
"Analog , Inc.",1
Analog Devices,1
"Analog Devices, Inc.",1
Analog Integrated Products,0
Analog Power,1
Analog Power and Interface Division,0
Analog Products Groups,1
"Analog Systems , Inc.",1
"Analog Technology , Inc.",1
Annual Visual Networking,0
APEX,1
Apex,1
Apple,1
"Apple , Inc.",1
"Apple Hai Precision Industry Co. , Ltd.",1
Apple Holdings plc,1
Apple Technologies Ltd.,1
Applied,0
Applied Materials,1
"Applied Materials , Inc.",1
"Applied Materials, Inc.",1
Aptina,1
Aristotle,1
ARM,1
ARM Holdings,1
ARM Instruments Incorporated,1
"ARM Technologies Co. , Ltd.",1
ARM Technology Group,1
ARMADA,1
Arrow,1
Arrow Electronics,1
"Arrow Electronics , Inc.",1
ARS,0
ASC 280 Segment Reporting,0
ASE Electronics,1
ASML,1
ASML Holding N.V.,1
Assembly and Test,0
Assisted-GPS,0
ASUSTeK Computer Inc.,1
Atheros,1
Athlon,0
ATIC,1
ATIC International Investment Company,1
ATIC International Investment Company LLC,1
Atlantic Richfield Company,1
Atmel Corporation,1
Atmel Technology Incorporated,1
"Audience Technology , Inc.",1
"Austriamicrosystems , Inc.",1
Austriamicrosystems AG,1
Automotive & Industrial Systems Company,1
"Automotive Semiconductor , Inc",1
Automotive Solutions Group,1
Avago,1
Avago Micro Devices,1
Avago Technologies Ltd.,1
"Avago Technologies,",0
"Avago, Inc.",1
Avastar,0
Avnet,1
AXSEM,1
"B.S. , M.S",0
Bachelor of Science,0
Bachelor of Science in Business Administration and Accounting,0
Bachelor University of Thessaloniki,0
Barclays,0
Barclays Lead Arrangers,0
Barclays Lead Arrangers and Co - Book Managers,0
Base and Support Products,0
"Beceem Communications , Inc.",1
"Beceem Communications, Inc.",1
BeiDou,1
Beijing UniSpreadtrum Technology Ltd.,1
Benchmark Electronic,1
"Benchmark Electronic, Flextronics",1
Benchmark Towada Electronics,0
Bharti,1
Bi-CMOS,0
Black-Scholes,0
Bluegiga,1
Blu-ray,0
BMW,1
Bollywood,0
Booz,1
Booz Allen Hamilton Inc.,1
Booz Instruments Incorporated,1
Bosch,1
Bose,1
Broadband,0
"Broadcom / A-COM Technology Solutions , Inc.",1
"Broadcom Communications , Inc.",1
Broadcom Electronics Corporation,1
Broadcom Foundation,1
Broadcom Semiconductor Corporation,1
Broadcom Technologies AG,1
BroadLight,1
BroadLight Inc.,1
Broadwell,0
Brobeck,1
Brocade Communication Systems,1
"Brocade Communication Systems , Inc.",1
BS,1
Business,0
"Business Units , Sales & Marketing",0
BYD Auto Co . Ltd.,1
BYD Auto Co. Ltd.,1
"Bytemobile , Inc.",1
Cable,1
Canadian,1
Canon ? Court,0
Care Innovations,1
Carrizo,1
"Catalyst , Inc.",1
Catalyst Semiconductor,1
Celestica,1
Cellular,1
CEM,1
Certain Consumer Electronic Devices and Networks,0
Chemetco,1
China,0
Cirrus,1
Cirrus Credit Facility,0
Cirrus Fargo Bank,0
Cirrus Logic,1
"Cirrus Logic , Inc.",1
Cisco Packard Company,1
"Cisco Systems , Inc.",1
"Cisco Systems, Inc.",1
"Cisco Technologies Co. , Ltd.",1
Citrix,1
"Citrix Systems, Inc.",1
Clearwire,1
Clearwire Communications,1
"Clearwire Communications , LLC",1
Clearwire LLC,1
Client Center Group,0
Client Data Center Group,0
Closing,0
"Cloudera, Inc.",1
CMs,0
"Coherent , Inc.",1
Comcast Cable Communications Management LLC,1
Commission,0
Commitments,0
"Communications , Aerospace & Defense",0
Communications Holdings Inc.,1
Company Logic Division,0
Compensation,0
Compliance Assurance Process,0
Computing,0
Computing and Graphics,0
Computing and Visual Solutions,0
Conexant,1
Configurable,0
Congress,0
Consumer,0
Consumers Gartner Camera Report,0
Cooley LLP,1
CoolRunner-II,0
CoolRunnerTM,0
Core,0
Coreware,1
Cornell Science and Engineering,0
Corporate,0
Corporate Controller and Tax,0
Cortex A53 Application Processing Unit,0
Cortex R5 Real Time Processing Unit,0
Costa,1
CrossFire,0
CRUS,1
Crutcher,0
CRYSTAL,1
Custom Industrial and Timing Products,0
Custom Passive Device,0
Cycleo,1
"Cypress , Inc.",1
Cypress Integrated Products,0
Cypress Semiconductor Corp.,1
Cypress Semiconductor Corporation,1
Darnell Group,1
Data,0
Data High Performance Analog Division,0
DBSI,0
DCG,1
Deere & Company,1
DEI,1
Dell Inc.,1
Dell Packard Company,0
Department of Commerce,0
Design and Manufacturing,0
Design and Visualization,0
DesignWorks,1
Deutsche,0
Deutsche Bank Securities Inc.,1
DEVICES CORPORATION,1
"DexCom , Inc.",1
"DexCom, Inc.",1
DGX-1,0
Dialog Semiconductor PLC,1
"Diodes Co. , Ltd.",1
Diodes Incorporated,1
"Diodes Semiconductor International , Inc.",1
Diodes Technologies AG,0
Direct,0
Display Company,1
District Court for the District of Delaware,0
District Court for the Eastern District of Virginia,0
DJI,1
DLA,1
DNN,1
DO,0
DragonFly,1
DSC,1
DSP,1
DSP Energy Platforms,0
DSP Semiconductor Corporation,1
"Dune Networks , Inc.",1
E7,0
Edom,1
EICC,0
Electrical,0
Electrical State University,0
Electronic Design Automation,0
Elmos,1
Ember Corporation,1
Energy Micro,1
Enterprise,0
EnterTrac,1
EnVerv,1
EnVerv PLC,1
EnVerv Wireless Platform,0
"EnVerv, Inc.",1
Epson,1
Equity,0
Ericsson,1
Ericsson Integrated Products,0
ESE,0
ESEs,0
"ESS Technology, Inc.",1
European Silicon Structures,1
EVS,1
Executive Compensation Committee,0
Fab 2 's,0
Fab 4 's,0
Facebook,1
Faculty,0
FAE,0
FAEs,0
Fair Value Measurements,0
Fairchild,1
"Fairchild Integrated Products , Inc.",1
Fairchild Semiconductor Corp.,1
Fairchild Semiconductor Corporation,1
"Fairchild Semiconductor International , Inc.",1
Fairchild Transaction,1
Fairchild: Power Solutions Group,0
"Falcon Operations Sub , Inc.",1
FBC,1
Federal,0
Fenner & Smith Incorporated,1
FilterCo,1
Final-Level,0
Financial Accounting Standards Board 's,0
Financial and Enterprise Services,0
Finisar,1
"Flarion Technologies, Inc.",1
Flash,0
FLC,1
FLCTM,0
Flextronics,1
"Flextronics, Celestica, Benchmark Electronic",1
FLO,1
For Inspiration and Recognition of Science and Technology,0
Freescale,1
"Freescale Rockchip Electronics Co. , Ltd.",1
FtA,1
Fujitsu,1
Fujitsu Limited,1
"Fujitsu Technologies Co. , Ltd.",1
Fusion,0
Fuzhou,0
Gaming,0
Gartner,1
"Gartner , Inc.",1
"Gartner, Inc.",1
General Instrument / General Semiconductor,0
General Instrument/General Semiconductor,1
"General Manager , Automotive , Industrial , Medical and Mil-Aero Products Group",0
"General Manager , Computing and Consumer Products Group",0
Gennum and Sensing Products,0
Gennum Product,1
Gennum Product Group,1
Gennum Product Group Thunderbolt,0
"Geosciences , Biosciences",0
GF and Chartered,0
Gibson,1
"Gigle Networks , Inc.",1
Global Market Development,1
Global System,1
Global System for Mobile Communications,0
GLOBALFOUNDRIES Inc.,1
GlobalFoundries Inc.,1
GoerTek Inc.,1
GoerTek Semiconductor Corporation,1
Google Cloud,1
Google Inc.,1
"Gray , Cary , Ware & Friedenrich",1
"Greenliant Systems, Ltd.",1
GreenPeak,1
GSA,1
G-Series,0
GSMA Foundation,1
GuangDong OPPO Mobile Telecommunications Corp . Ltd.,1
"Gutmann , Inc.",1
Halliburton,1
Hamilton,1
Hamilton Sundstrand,1
Hampshire,0
Handheld,0
"Harry & David Holdings, Inc.",1
HAUHONG,1
HBLED,1
HD,0
"Hewlett Networks , Inc.",1
Hewlett Packard,1
Hewlett- Packard Company,1
Hewlett Packard Enterprise Company,1
Hewlett-Packard Allen Hamilton Inc.,1
Hewlett-Packard Company,1
Hewlett-Packard Corporation,1
High Performance Computing & Cloud,0
High Reliability and Systems Innovation,0
High Speed Packet Access,0
HiSilicon,1
"HiSilicon Technologies Co., Ltd.",1
Hitachi Ltd.,1
HI-TECH,1
Hittite,0
Hittite Microwave Corporation,1
HK Towada Electronics,1
Home and Networking,0
Hon,0
"Hon Hai Precision Industry Co. , Ltd.",1
"Hon Hai Precision Industry Co., Ltd/Foxconn",1
Honda,1
Honeywell,1
HPC  & Cloud,0
HTC,1
Huawei,1
Huawei & Gyr,0
"Huawei Electronics Co. , Ltd.",1
Huawei Technologies Co . Ltd.,1
"Huawei Technologies Co., Ltd.",1
Human and Human Resources,0
Hyundai,1
"IbidenCo. , Ltd.",1
IBM,1
IBM Credit LLC,1
ICAP Business,1
Icera,1
"Icera , Inc.",1
Icera's,0
IDP,1
IDT,1
IDT Technology Group,1
IHS Markit Ltd.,1
"II-VI , Inc",1
"IM Flash Technologies , LLC",1
Imagination Technologies Ltd.,1
Imagination Technology Group Ltd.,1
Imaging,0
IMC,1
Inception,0
Industrial,0
"Industrial , Aerospace & Defense and Broadcast , Consumer & Automotive",0
"Industrial , Aerospace and Defense",0
Infineon Technologies AG,1
Infrastructure,0
Innovation,0
Innovision Research & Technology PLC,1
Inphi,1
Inphi Corporation,1
"Integrated Device Technology , Inc.",1
"Integrated Device Technology, Inc.",1
Intel,1
Intel Corporation Board of Directors,0
Intel Foundation,1
"Intel Networks , Inc.",1
Intel Non-Volatile Memory Solutions Group,0
Intel Semiconductor Corporation,1
Intel Technology Group,0
Intel Technology Group Ltd.,1
Intel 簧 Edison,0
International  AG,0
International Rectifier Corp.,1
International Rectifier Corporation,1
Internet,0
Internet of Things Businesses and System Architecture Group,0
Intersil,1
Intersil Corporation,1
InvenSense Microelectronics N.V.,0
"InvenSense, Inc.",1
Investor,0
Investor Securities and Exchange Commission,0
Investor Via Fortuna,0
IPRD,0
"IQE , Inc",1
"IQE, Inc.",1
Iray,0
ISecG,0
ISG,1
ISG Netbook Group,0
ISO Standards Organization,0
ISO9001,0
ISSC,1
JDS,1
JDS Uniphase Corp.,1
JDS Uniphase Corporation,1
Jefferies Finance LLC,1
Joint,0
Jr,1
JSI Logistics Ltd.,1
"JSI Yuan Electronics Co. , Ltd.",1
"Juniper Networks , Inc.",1
"Juris University of California , Hastings College of the Law",0
JV  Co . Ltd.,1
JV Chinese Target Company,1
"Khronos Group , Inc",1
King Precision Industries Company Ltd.,1
"King Yuan Electronics Co. , Ltd.",1
Knights,1
"Knowles Instruments , Inc",1
KSS,1
Laird,1
Landis,1
Landis & Gyr,1
Lantiq,1
Lantiq Integrated Products,0
Lattice Semiconductor Corporation,1
Lawrence Livermore National Laboratories,0
Leadis Technology Inc.,1
Legacy,0
Legal,0
Leipziger,0
Lenders,0
Lenovo Group Limited,1
Leshan,1
Leshan Radio Company Ltd.,1
LG,1
Licensed Assisted Access,0
"Licensing,which",0
Linear,0
Linear Instruments Incorporated,1
Linear Integrated Products Inc.,1
Linear Technology Corporation,1
Link,0
Linley Group,1
"Littelfuse , Inc.",1
"Live Nation Entertainment, Inc.",1
Llano-based,0
Loan,0
Lockheed Missiles and Space Company,1
LSI Corporation,1
Ltd,1
LTE Citizens Broadband Radio Service,0
LTE-Advanced,0
"LVMH Audio , LLC",0
M / S B100.2,0
"M Manufacturing Co. , Ltd.",1
M Micro Circuits Corporation,1
Macbook,0
Macnica,1
Macs,1
Magna,1
Malaysian,0
Malaysian Target Company,1
Management ? Discussion and Analysis,0
"Manufacturing , Operations and Sales",0
"Marketing at Integrated Device Technology, Inc.",1
Marvell Charitable Fund,0
Marvell Electronics Co . Ltd.,1
Marvell Integrated Products,0
"Marvell Semiconductor , Inc.",1
Marvell Technology Group,1
Marvell Technology Group Ltd.,1
"Marvell Technology Group, Ltd.",1
Maskhouse Building Administration GmbH & Co. KG,1
Materials Science and Engineering,0
Materials University of Utah,0
Matrox Electronics Systems Ltd.,1
Matsushita,1
Maxim,1
"Maxim / A-COM Technology Solutions Holdings , Inc.",1
Maxim Instruments Inc,1
Maxim Power Systems Inc,1
Maxim Solutions Inc.,1
MaxLinear,1
McAfee Endpoint Security,1
McAfee Endpoint Security 10.X,0
McAfee LiveSafe,1
MCG,1
McKesson,1
Mechanical University of Michigan,0
Mechanical University of Notre Dame,0
Mediatek,1
MediaTek,1
"MediaTek , Inc.",1
MediaTek Mobile Platforms,0
MediaTek Unigroup,0
"MediaTek, Inc.",1
"MediaTek, Microchip Technology Inc.",1
"Mediatek, NEC Corporation",1
Melexis,1
Mercury Research,1
Merger,0
Micrel,1
"Micrel , Incorporated",1
Micrel Inc.,1
"Micrel, Incorporated Micrel",0
"Microchip Technology, Inc.",1
"Micron Technology , Inc.",1
Microsemi,1
Microsemi Corporation,1
Microsemi Power Systems,0
Microsoft,1
Microsoft Corporation,1
Microsoft Corporation and HP Inc.,1
Microsoft Surface RT,0
"Microsoft Warner , Inc.",1
Mindspeed,1
Mindspeed Technology Inc.,1
Mitsubishi Electronics Corporation,1
Mixed Circuits Group,0
MOBA,1
Mobile and Wireless,0
MoChi,1
MoChiTM,0
Monolithic,1
Monte,1
Moore ? Law,0
Morgan,1
"Motorola , Inc.",1
Motorola ? Semiconductor Products Sector,0
Motorola In Motion Limited,0
Motorola Inc.,1
Motorola Mobility,1
Motorola Pacific Group,0
Motorola Products Sector,0
Motorola Semiconductor Components Group,1
Mountain,0
MP,0
Ms . Kress,0
Ms . Sterling,0
Ms . Strelar-Migotti,0
MSI,1
Mubadala,1
Mubadala Coast Hitech,0
Mubadala Development Company PJSC,1
Mubadala Tech,1
Mubadala Technology Investment Company LLC,1
MultiPhy,1
Multi-Protocol,0
Murata,1
Murata Manufacturing,1
"Murata Manufacturing Co., Ltd.",1
Myomo,1
N.A,0
"Nantong Fujitsu Microelectronics, Co., Ltd.",1
Nanya Technology Corporation,1
Narrow-Scope Improvements,0
NASDAQ,1
National,0
National Agent and Issuing Lender,0
National Association,0
"National Fargo Securities , LLC",1
National Semiconductor Corp,1
Near Junction Thermal Transport,0
Nepes Corporation,1
"Nepes Precision Industries Co. , Ltd.",1
Netbook,0
NetLogic,1
"NetLogic Microsystems, Inc.",1
Network,0
Networks Electronics Co . Ltd.,1
New,0
"New , Aerospace & Defense and Communications & Data Center",0
New and Base Products,0
New York Branch,0
Nintendo,1
Nintendo Switch,0
Nippon,1
"Nokia Electronics Co. , Ltd.",1
Nokia Siemens Networks,1
Nokia Solutions,1
Non - Portable Audio,0
Nordic Semiconductor,1
Northeastern,1
Northrop,0
Northrop Grumman,1
Northrop Grumman Corporation,1
"Northrop Technologies , Inc.",1
Note14,0
Notes,0
Novellus,1
NPD Group,1
Numonyx B.V.,1
"Numonyx Technology , Inc.",1
"NuVasive, Inc.",1
Nvidia,1
NVIDIA Ansel,0
NVIDIA Corporation,1
NVIDIA DRIVE,0
NVIDIA Iray,0
NVIDIA NVLink,0
NVIDIA Pascal,0
NXP,1
"NXP Intertechnology , Inc",1
NXP River Holdings,0
NXP Semiconductors,1
NXP Semiconductors N.V.,1
NXP Semiconductors N.V. Pursuant,1
Oclaro,1
Omnivision,1
"ON , Inc.",1
ON Regulatory Affairs,0
ON Semiconductor,1
ON Semiconductor Corporation,1
ON Solutions Group,0
ON Standard Products Group,0
ON Technologies AG,1
One AMD Place,0
Open Computing Language,0
Operating,0
Oppo,1
"Oracle Electronics Co. , Ltd.",1
OS,0
OS Electronics,1
Other,0
Other Positioning System,0
Our Board of Directors,0
Our Medical and Custom Industrial,0
P-1,0
"PACT XPP Technologies, AG",1
Panasonic Corporation,1
Pandora,1
Parallel,1
ParkerVision,1
Pascal-based,0
Passive,0
PC Graphics Report,0
PCI,1
PCT,1
Penang  Sdn,1
Percello Ltd.,1
Peregrine,1
Peregrine Semiconductor,1
Phenom,1
Philippines,0
Philips,1
Phonak,1
Phonak International,1
Pierce of America,0
Pixtronix,1
Platform,0
PLD,1
Polytechnic,0
Porsche,1
Portable,0
Portable Audio Products,0
"Portal Software , Inc.",1
"Portal Software, Inc.",1
Pound Rican Colon,0
Power and High-Reliability Product Group,0
Power and High-Reliability Products Group,0
Power Instruments Inc.,1
Power Instruments Incorporated,1
"Power Integrations, Inc.",1
Power Technology Corporation,1
Powerline Optical Networking,0
Prestera,1
Pro Technology,1
Product,0
ProSLIC,0
"Protection , Power",0
"Provigent , Inc",1
"Provigent , Inc.",1
"Provigent, Inc.",1
PTC Business,1
PtP,1
PTT,0
PulseCore Semiconductor,1
PureEdge,1
QCT Business Planning and Finance,1
QCT Engineering,1
QCT Segment,0
QIS,1
QLogic Corporation,1
QMT,1
Qorvo,1
"Qorvo , Inc",1
"Qorvo , Inc.",1
QTI,1
Quadro,1
Qualcomm,1
"Qualcomm , Inc.",1
Qualcomm Agreement,0
"Qualcomm Atheros , Inc.",1
"Qualcomm Atheros, Inc.",1
QUALCOMM Communications Inc.,1
"Qualcomm Europe, Inc.",1
Qualcomm Government Technologies,0
QUALCOMM Incorporated,1
Qualcomm Incorporated,1
Qualcomm Instruments Incorporated,1
Qualcomm Internet Services,0
Qualcomm Market Development,0
Qualcomm Mobile & Computing,1
Qualcomm Reference Design,0
Qualcomm Retail Solutions Division,0
Qualcomm River Holdings,1
"Qualcomm River Holdings , B.V.",1
Qualcomm Single Chip,0
"Qualcomm Solutions , Inc.",1
"QUALCOMM Technologies , Inc.",1
"Qualcomm Technologies , Inc.",1
Qualcomm Technologies Inc.,1
"Qualcomm Technologies, Inc.",1
Quanta,1
Quanta Computer,1
Quantenna Communications Inc.,1
Quantenna Motion Technology Corporation,1
Quantum,1
Quantum Corporation,1
R & D.,0
R&E International,1
R9,0
Rambus,1
Rambus Inc.,1
Raytheon Company,1
RDEC,1
Realtek,1
Realtek Semiconductor Corporation,1
Region,0
Regulatory,0
Renasas Co . Ltd.,1
Renasas Electronics Corporation,1
Renesas,1
Renesas Electronics Corporation,1
Reporting Segment and Geographic Data,0
Research,0
Research in Motion Limited,0
Restructuring,0
Revenue,0
RF Micro Devices,1
"RF Micro Devices , Inc.",1
RF360,0
RF360 Holdings,1
RF-CMOS,0
ROBORACE York University,0
Rockwell,1
"Rocky Holding , Inc.",1
ROCm,0
Rogers,1
Rogers Corporation,1
Rohm,1
Rohm Co. Ltd.,1
"Rohm Intertechnology , Inc.",1
RSUs,0
Sales and Marketing,0
SAM,1
Samsung,1
Samsung Electric,1
"Samsung Electronics , Co. , Ltd.",1
Samsung Electronics Co . Ltd,1
Samsung Electronics Co. Ltd,1
Samsung Electronics Co. Ltd.,1
"Samsung Electronics, Co., Ltd.",1
"Samsung Hai Precision Industry Co. , Ltd.",1
"Samsung Technology Co. , Ltd.",1
Sanken,1
Sanmina,1
SANYO,1
SANYO CMOS Image Sensor Business Unit,0
SANYO Electric,1
SANYO Electric and Semiconductor Company,1
SANYO EPSON,1
SANYO SANYO Semiconductor Transaction,0
SANYO Semiconductor,1
SANYO Semiconductor Co. Ltd.,1
SANYO Semiconductor Division,1
SANYO Semiconductor Group,1
SAP,1
SAS,1
SC Renesas Transaction,0
SC Square Ltd.,1
SCI,0
SCI ? Semiconductor Components Group,0
Scotiabank,1
Seagate,1
Seagate Technology,1
"SeaMicro , Inc.",1
"SeaMicro, Inc.",1
SEC Board of Directors,0
Seiko Epson Corporation,1
Semi - Custom,0
"Semiconductor Components Industries , LLC",1
Semiconductor Manufacturing International Corporation,1
Semiconductor Products Sector,0
Sempron,0
SEMTECH,1
Semtech Canada Corporation,1
Semtech Canada Inc.,1
Semtech Corporation,1
Semtech International AG,1
Senet,1
Sensus,1
Sequans Communications S.A.,1
"Serial Computer Technology , Ltd.",1
Sharp Electronics Co . Ltd.,1
SHIELD,1
Siemens,1
Sierra Monolithics Inc.,1
Sierra Wireless,1
SiGe,1
SiGe Semiconductor,1
"SiGe Semiconductor , Inc.",1
Signal,0
Signal Management and High-Reliability and Wireless and Sensing,0
Silicon Clocks,1
Silicon Instruments Incorporated,1
Silicon Laboratories Inc.,1
Silicon Labs,1
Silicon Motion Technology Corporation,1
Silicon Semiconductor Corporation,1
"Silicon Wave, Inc.",1
Siliconware ChipPAC Pte,0
Siliconware ChipPAC Pte.Ltd,1
Siliconware Precision Industries,1
"Siliconware Precision Industries Co., Ltd.",1
Siliconware Precision Industries Company Ltd.,1
Simplicity Studio ??,0
"Sirenza Microdevices , Inc.",1
Skyworks',1
"Skyworks Solutions , Inc.",1
Skyworks Solutions Inc. / Conexant Systems Inc.,1
"Skyworks Solutions, Inc.",1
Skyworks??X,0
Small,0
Smart,0
Smart Energy Platform,0
"SMART Technologies, Inc.",1
"SMS Ceremony , LLC",1
"SOC , Inc.",1
SoFIA,1
Solomon  International,1
Sonos,1
Sonova,1
Sonova International,1
Sony Computer Entertainment,1
Sony Corporation,1
Sony Ericsson,1
Sony Home Platform Division,0
"Sony Technologies Co. , Ltd.",1
"Sound Design Technologies , Ltd.",1
"Sound Design Technologies, Ltd.",1
Spansion,1
Spartan,1
Spartan-3,0
Spartan-6,0
Spartan-II,0
Spartan-IIE,0
Spectra,1
Spreadtrum,0
Standard,0
Standard & Poor ?,0
Standard and Logic Group,0
Standard Microsystems Corporation,1
Standard Product Group,0
Standard Products Group,1
Stars,0
STATSChipPAC,1
STMicroelectronics International N.V.,1
"STMicroelectronics Semiconductor International , Inc.",1
STMicroelectronics Semiconductors N.V.,1
ST-NXP Wireless,1
Stock Repurchase Program,0
StrataGX,0
Subsidiary,0
Sumitomo Electric Device Innovations,1
Sun Microsystems,1
"Sun Microsystems , Inc.",1
Support,0
"Suzhou TF-AMD Semiconductor Co. , Ltd.",1
Sybase,1
Symantec,1
Symantec Corporation,1
System Solution Group,0
System Solutions Group,1
Systems Innovation Group,1
Tactical,1
"Taiwan Electronics Co. , Ltd.",1
"Taiwan Semiconductor Manufacturing Company , Ltd.",1
Taiwan Semiconductor Manufacturing Company Limited 's,1
"Taiwan Semiconductor Manufacturing Company, Ltd.",1
TDK Fujitsu Philippines Corporation,1
TDK Holdings Singapore Pte,1
TDK-EPCOS Corporation,1
Technicolor,1
Technisat,1
Teknovus,1
"Teknovus , Inc.",1
Tektronix Corporation,1
Tesla Motors,1
Tessera Technologies,1
Texas Instruments,1
"Texas Instruments , Inc",1
Texas Instruments Inc.,1
Texas Instruments Incorporated,1
"Texas Integrated Products , Inc.",1
Texas Pacific Group,1
THATIC JV,1
Things and Communications Group,0
Things Memory Solutions Group,0
Tianjin,1
Tianjin Haiguang Advanced Technology Investment Co . Ltd,1
Tier,1
Time,0
TL9000 / ISO9001,0
"Tongfu Fujitsu Microelectronics , Co. , Ltd.",1
"Tongfu Fujitsu Microelectronics Co. , Ltd.",1
"Tongfu Fujitsu Microelectronics, Co., Ltd.",1
"Tongfu Microelectronics Co. , Ltd.",1
"Tongfu Microelectronics Co., Ltd.",1
TOP500,0
Top500,0
Toppan Photomasks Germany GmbH,1
Touchstone,1
Tower,0
Tower Semiconductor Ltd.,1
TPG,1
Transport,0
TriQuint,1
TriQuint Semiconductor,1
Trusted,0
Tsinghua,1
"TSPS Semiconductor International , Inc.",1
Turion,0
Turnkey,1
"U.S. Ethernet Innovations , LLC",1
U.S.GAAP,0
Uber,1
Ubiquiti Networks,1
UMC,1
UMC Semiconductor Manufacturing Company Limited,1
UMG,1
Unimicron Technology Corporation,1
United Microelectronics Corporation,1
United Technologies Corp,1
United Technologies Corp.,1
Unitrode,1
UTAC,1
Varian,1
"Veeco Instruments , Inc.",1
"Veeco Instruments, Inc.",1
"Velocity Micro , Inc.",1
"VIA Technologies , Inc.",1
"VIA Technologies, Inc.",1
Virtex & Kintex UltraScale,0
Virtex-2,0
Virtex-5,0
Virtex-7,0
Vishay Intertechnology,1
Visual,0
Vivado 簧 Design Suite,0
VIVO,1
Vizio,1
"VMware, Inc.",1
Voluntary Retirement Program,0
Volvo,1
Warrant,1
WBIS,0
Wells Fargo Securities,1
West,0
West Coast Hitech L.P.,1
Western,0
Wii,0
Wind River Systems,1
Wireless,0
Wireless and Sensing,0
Wireless and Sensing Group,0
Wireless and Sensing Products,0
Wireless Devices Inc.,1
Wolfson Microelectronics,1
Worldwide,0
WT Microelectronics,1
Xelerated,1
Xemics Monolithics Inc.,1
Xemics SA,1
Xeon Phi ??,0
Xicor,1
Xilinx,1
"Xilinx, Inc.",1
XLP,1
Xyratex,1
Yosun,1
Yulong,1
"Yulong Computer Telecommunication Scientific Co. , Ltd.",1
ZENRIN,1
ZMD AG,1
ZTE,1
